race,annee,nb,nb_tot
Berger allemand,1970,9020,287941
Berger allemand,1975,11431,287941
Berger allemand,1980,16514,287941
Berger allemand,1985,14651,287941
Berger allemand,1990,15741,287941
Berger allemand,1995,14309,287941
Berger allemand,2000,11835,287941
Berger allemand,2005,10971,287941
Berger allemand,2006,11025,287941
Berger allemand,2007,11203,287941
Berger allemand,2008,11408,287941
Berger allemand,2009,11321,287941
Berger allemand,2010,11265,287941
Berger allemand,2011,11374,287941
Berger allemand,2012,11205,287941
Berger allemand,2013,11373,287941
Berger allemand,2014,11192,287941
Berger allemand,2015,10751,287941
Berger allemand,2016,10964,287941
Berger allemand,2017,11049,287941
Berger allemand,2018,10262,287941
Berger allemand,2019,9996,287941
Berger allemand,2020,9785,287941
Berger allemand,2021,10486,287941
Berger allemand,2022,8810,287941
Chien de berger belge,1970,1270,194875
Chien de berger belge,1975,2005,194875
Chien de berger belge,1980,3101,194875
Chien de berger belge,1985,3529,194875
Chien de berger belge,1990,5087,194875
Chien de berger belge,1995,4775,194875
Chien de berger belge,2000,5042,194875
Chien de berger belge,2005,5572,194875
Chien de berger belge,2006,5946,194875
Chien de berger belge,2007,6126,194875
Chien de berger belge,2008,6726,194875
Chien de berger belge,2009,6960,194875
Chien de berger belge,2010,7857,194875
Chien de berger belge,2011,8289,194875
Chien de berger belge,2012,8415,194875
Chien de berger belge,2013,9616,194875
Chien de berger belge,2014,10309,194875
Chien de berger belge,2015,9852,194875
Chien de berger belge,2016,11267,194875
Chien de berger belge,2017,12307,194875
Chien de berger belge,2018,11729,194875
Chien de berger belge,2019,11763,194875
Chien de berger belge,2020,12144,194875
Chien de berger belge,2021,13542,194875
Chien de berger belge,2022,11646,194875
Golden retriever,1970,19,184882
Golden retriever,1975,69,184882
Golden retriever,1980,137,184882
Golden retriever,1985,280,184882
Golden retriever,1990,720,184882
Golden retriever,1995,2288,184882
Golden retriever,2000,5413,184882
Golden retriever,2005,7842,184882
Golden retriever,2006,7408,184882
Golden retriever,2007,8483,184882
Golden retriever,2008,8491,184882
Golden retriever,2009,7787,184882
Golden retriever,2010,8388,184882
Golden retriever,2011,8480,184882
Golden retriever,2012,8877,184882
Golden retriever,2013,9069,184882
Golden retriever,2014,8826,184882
Golden retriever,2015,9231,184882
Golden retriever,2016,9808,184882
Golden retriever,2017,10319,184882
Golden retriever,2018,10563,184882
Golden retriever,2019,10932,184882
Golden retriever,2020,12060,184882
Golden retriever,2021,14444,184882
Golden retriever,2022,14948,184882
Berger australien,1970,0,163719
